27	@FabBallarini Seguimos siendo unos irresponsables,  paso un año desde q empezamos a tener q cuidarnos y cuidar al otro en el contexto de la pandemia , pero nada cambio , seguimos haciendo cualquiera , somos pocos los q nos cuidamos desde el principio,  pero lamentablemente la mayoría no acata+
28	"Esta semana se cumple un año de ""Al virus lo frenamos entre todos"" #somosresponsables  ¿Cual es el balance del año? ¿Los medios estuvieron a la altura? ¿Contribuyeron con información confiable?  Los leo. https://t.co/lXtGUb7uEF"
28	@FabBallarini Fueron lo que siempre han sido, tiraron para el lado del amarillismo, de lo que vende, de la desinformación, de dividir a la población y de sacar tajada política de lo que sea sin priorizar a la gente. algunas veces sin darse cuenta tiraron alguna información confiable jaja
29	Si bien la vacuna de AZ tiene sus problemas, puede igual llegar a ser efectiva. Pero lo interesante es la discusión. No hay ninguna boba diciendo ES-PEC-TA-CU-LAR! https://t.co/NNxHgxrIvC
29	@spitta1969 Y no te cuento yo q tengo q discutir en el grupo de celíacos q dicen q ya tienen turno y otros q ya están vacunados xq hay vacunas , seguro q son de las personas q son esenciales o acomodados la necedad cuando los escuchas te sorprende !
30	Si bien la vacuna de AZ tiene sus problemas, puede igual llegar a ser efectiva. Pero lo interesante es la discusión. No hay ninguna boba diciendo ES-PEC-TA-CU-LAR! https://t.co/NNxHgxrIvC
30	@spitta1969 espectacular es comprobar q la mitad de este, mi pais haya votado a la boba mas corrupta q conozcamos- El mundo entero no sale del asombro!! HAY Q LEER MAS; PARA PENSAR MEJOR; sin Fanatismos ridiculos q nos empobrecen la mente y los cuerpos! FUERA LOS K!
31	Ahora sí, disipadas todas las dudas legítimas que podía haber y enterrado el boicot malintencionado de la necropolítica. Leamos a los que saben, como la decana @norabar. ¡Y vacunémonos! https://t.co/3QeB8izhmL
31	@aleberco @norabar Siempre desde que arrancó la pandemia fue quien mejor nos informó sobre lo que venía pasando.Nos explicó Y sabemos que lo hizo por amor a la profesión porque por tuitear no se gana guita .Somos miles los que le estamos agradecidos a @norabar por intformarnos 😘❤💪
32	Ahora sí, disipadas todas las dudas legítimas que podía haber y enterrado el boicot malintencionado de la necropolítica. Leamos a los que saben, como la decana @norabar. ¡Y vacunémonos! https://t.co/3QeB8izhmL
32	@aleberco @norabar Llamalas dudas, pero porfa sacá el legítimas. Estamos en un tiempo en que se le da crédito a cualquiera opinando de cualquier cosa y a más burradas mayor credibilidad. Se le dio crédito a la ciencia y a la ANMAT q analizo la data cruda y procesada del Gamaleya en emergencia. Sigo
